0,Monero
1,  Bitcoin
2, Etherum
3, iota
4, Bitcoin cash
5, Stellar lumen
6, Ripple
7,  Litecoin
8, Tether
9, eos
10, zcash
11,Etherum classic
12,Quantum
13,Binance coin
14, tron
15, nem
16, neo
17, lisk
18, Siacoin
19, Bytecoin
20, ICON
21, Bitshare
22, ARDOR
23, OmiseGO
24, Dogecoin
25, steem
26, Golem
27, Power Ledger
28, Stratis
29, Cardano
30, VEChain
31, Hshare
32, PACcoin
33, district0x
34, zcoin
