39,bitcoin diamond,
38,0x,
37,zcoin,
36,euros,
35,us dollars,
34,monero,
33,bitcoin,
32,ethereum,
31,iota,
30,bitcoin cash,
29,stellar lumen,
28,ripple,
27,litecoin,
26,tether,
25,eos,
24,zcash,
23,etherum classic,
22,quantum,
21,binance coin,
20,tron,
19,nem,
18,neo,
17,lisk,
16,siacoin,
15,bytecoin,
14,icon,
13,bitshare,
12,ardor,
11,omisego,
10,dogecoin,
9,steem,
8,golem,
7,power ledger,
6,stratis,
5,cardano,
4,vechain,
3,hshare,
2,paccoin,
1,district0x,
0,name,
